trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-30,-493.6780112912703,"{0: 23, 1: 2, 2: 14, 3: 3, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.57434917749851755}",20,-54,-336.42385361240486,"{0: 43, 1: 3, 2: 23, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.41524364653850571}",30,-92,-658.794659561189,"{0: 71, 1: 13, 2: 26, 3: 2, 4: 10}",0
4,False,"{'a': 0.5, 'e': 0.32987697769322355}",20,-3,-36.27273772389464,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.27594593229224296}",20,-56,-355.2788871670002,"{0: 47, 1: 7, 2: 14, 3: 3, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.23849484685087588}",30,-100,-688.2906127214337,"{0: 76, 1: 14, 2: 25, 3: 6, 4: 9}",0
7,False,"{'a': 0.5, 'e': 0.2108247373706503}",20,-100,-833.8841219267584,"{0: 61, 1: 13, 2: 28, 3: 7, 4: 11}",0
8,False,"{'a': 0.5, 'e': 0.18946457081379975}",20,-100,-704.532703344738,"{0: 69, 1: 18, 2: 17, 3: 5, 4: 11}",0
9,False,"{'a': 0.5, 'e': 0.17242728599059551}",30,-100,-440.31929239598895,"{0: 84, 1: 13, 2: 25, 3: 3, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.15848931924611132}",20,-3,-74.56694033828195,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.14685402420019797}",30,-100,-737.0790909263778,"{0: 75, 1: 9, 2: 30, 3: 7, 4: 9}",0
12,False,"{'a': 0.5, 'e': 0.13697931912643546}",20,-100,-502.25548907137477,"{0: 78, 1: 8, 2: 22, 3: 6, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.12848289633344695}",25,0,-104.59632942240192,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.12108701450517395}",25,-100,-447.4246452168747,"{0: 82, 1: 13, 2: 20, 3: 5, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.11458479517249857}",30,-100,-561.538202659106,"{0: 70, 1: 24, 2: 26, 3: 6, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.10881882041201552}",20,-100,-689.7926325486837,"{0: 73, 1: 10, 2: 23, 3: 3, 4: 11}",0
17,False,"{'a': 0.5, 'e': 0.10366707928425392}",25,-37,-188.65721824963146,"{0: 40, 1: 4, 2: 15, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.099033469887000167}",25,-94,-821.7657847549348,"{0: 59, 1: 15, 2: 28, 3: 6, 4: 11}",0
19,False,"{'a': 0.5, 'e': 0.094841217227218}",20,-87,-620.7788584851068,"{0: 66, 1: 9, 2: 15, 3: 8, 4: 9}",0
20,False,"{'a': 0.5, 'e': 0.091028210151303995}",30,-50,-398.9194131268803,"{0: 50, 1: 8, 2: 13, 3: 3, 4: 6}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,5,-69.66279109618031,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,-100,-531.2544586354621,"{0: 80, 1: 14, 2: 19, 3: 5, 4: 7}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,3,-168.87622128585238,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 2}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,-100,-514.5011510994781,"{0: 73, 1: 8, 2: 31, 3: 3, 4: 5}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,-60,-411.7053320209774,"{0: 48, 1: 6, 2: 18, 3: 2, 4: 6}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,-100,-567.8448373703309,"{0: 72, 1: 14, 2: 23, 3: 3, 4: 8}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,-100,-708.5810550503222,"{0: 63, 1: 15, 2: 27, 3: 7, 4: 8}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,-100,-547.8694929432484,"{0: 77, 1: 10, 2: 28, 3: 4, 4: 6}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,-46,-399.86123762352577,"{0: 42, 1: 8, 2: 18, 3: 4, 4: 4}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,-3,-94.16491250945447,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",0
