trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",20,0,-67.5561272613663,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.61557220667245816}",20,0,-81.34613310937863,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.46346305677196975}",30,0,-85.18335658676094,"{0: 20, 1: 5, 2: 2, 3: 3, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.37892914162759955}",35,0,-76.65871873507312,"{0: 27, 1: 0, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.32413131933855255}",20,15,-35.19801299821472,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.4, 'e': 0.28529497656828423}",20,16,7.0250486467771704,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.4, 'e': 0.2561128517887139}",25,0,-81.69703261361906,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.23325824788420185}",35,13,-21.828400317138374,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.4, 'e': 0.21479800499241811}",30,0,-104.27517146278423,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.199526231496888}",20,0,-67.85426987641516,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.18664876487807674}",20,0,-32.10897465196126,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.17561965827870596}",20,0,-16.196400587826165,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.4, 'e': 0.16605029572473692}",20,16,7.018242218020631,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.15765595333275484}",25,3,-34.45473021238025,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.4, 'e': 0.15022289205617703}",35,12,14.441442602846642,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0.14358729437462939}",20,0,-32.09266844082353,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.13762133139302657}",25,0,-63.200567058002626,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.13222368192202449}",30,13,23.95364471206614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.12731292007829409}",20,0,2.9312013245637982,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.4, 'e': 0.12282280261157905}",25,0,2.2822179208417275,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.1186988451685838}",30,0,-41.99683940505757,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.11489579206868651}",30,0,18.36958263122196,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.11137571748460057}",25,5,30.28639138017276,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.4, 'e': 0.10810658058168605}",30,14,13.098087636024916,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.1050611121761507}",35,0,-22.421560302875854,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",1
26,False,"{'a': 0.4, 'e': 0.10221594695789055}",20,9,-1.6239633379067446,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.4, 'e': 0.099550939982306921}",25,0,-7.2625640476484765,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.097048623088093991}",30,0,30.45321186481086,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.4, 'e': 0.094693768736637221}",20,0,-49.61819982560341,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
30,False,"{'a': 0.4, 'e': 0.092473037155739388}",25,4,10.077355122750376,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.4, 'e': 0.09037468869152207}",30,17,-48.43176185748946,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
32,False,"{'a': 0.4, 'e': 0.088388347648318447}",20,4,24.944402995969384,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.4, 'e': 0.086504807113106125}",30,19,20.385668877057952,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.4, 'e': 0.084715866650807006}",30,0,-57.233074913933265,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.4, 'e': 0.083014196549834995}",20,5,25.885124807224102,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.081393223655097838}",25,10,26.890362363646094,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.4, 'e': 0.079847034862846999}",20,8,3.2913632797213603,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.4, 'e': 0.078370295150509806}",20,11,16.540477531671332,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.4, 'e': 0.076958177634476127}",25,0,-50.86685505233088,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
40,False,"{'a': 0.4, 'e': 0.075606303633305477}",30,8,16.24597885710124,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.074310691095111805}",25,9,27.842084780755275,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.07306771004989758}",20,0,13.727393864397492,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.071874043988295416}",30,8,10.013440898298205,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.070726656261101278}",35,16,24.492062731582628,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.4, 'e': 0.069622760749481469}",20,0,16.694528783602017,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.06855979618172385}",20,0,18.477951500565965,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.067535403574992756}",20,0,21.62967700296016,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.066547406364482406}",20,10,17.728009710769413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.4, 'e': 0.06559379285134774}",20,0,14.104380365551428,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.4, 'e': 0.064672700657735754}",30,0,40.38456308960705,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.063782402924440346}",25,0,-24.811112179289943,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.062921296025983633}",30,7,12.235438211983714,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.062087888610739453}",20,6,27.128447619891205,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.061280791801226121}",20,0,30.000841191678063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.060498710412842306}",25,18,11.288670481846953,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.059740435068861689}",25,0,31.529569327844257,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.4, 'e': 0.05900483510605168}",25,0,28.69460179790877,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.4, 'e': 0.058290852179343204}",25,0,39.39828222126299,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.057597494485960833}",20,3,29.648836419945578,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.4, 'e': 0.056923831539662711}",25,0,29.645703585776072,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.4, 'e': 0.056268989434516199}",20,10,16.165420806978915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.055632146545176689}",20,14,11.487104745118941,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.055012529617134605}",30,13,-17.468476662182297,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.4, 'e': 0.054409410206007765}",30,0,41.11305154112379,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.053822101429815784}",20,2,-10.494330701804952,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.4, 'e': 0.053249955002390104}",25,0,33.77752683388722,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.052692358519741751}",30,20,19.577762235751266,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.052148732974406975}",20,0,22.372611951113882,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.051618530475584304}",25,5,32.38711146870613,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.051101232155323098}",25,13,-12.461355480327871,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.050596346243168451}",20,0,10.087804880409697,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.4, 'e': 0.05010340629355349}",30,13,16.655240449525063,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.049621969551890265}",30,6,34.13273257319499,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.049151615446775418}",20,5,16.186004670944683,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.048691944197021622}",30,17,22.30501704693058,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.048242575523371169}",25,15,12.480004363965369,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.047803147455765381}",25,11,23.86907404640284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.047373315227945488}",20,2,10.308433590254113,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.046952750251964034}",25,0,-4.281398869501654,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.4, 'e': 0.046541139165901746}",25,5,-28.649516685102352,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.046138182948722871}",20,1,16.835723432057584,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.045743596096773358}",25,0,28.650492231066327,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.045357105856936482}",25,16,8.692927474203943,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.044978451511918802}",20,4,26.091023101786686,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.044607383713549852}",20,4,19.01866001624926,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.044243663860348344}",20,14,9.202240199253637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.043887063515939871}",30,4,39.548388918500706,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.043537363865210538}",30,9,25.312057018625516,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.043194355205350657}",25,15,15.183773869485897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.042857836469186915}",30,0,45.014461898703054,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.4, 'e': 0.042527614778421666}",25,13,22.7903019037894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.042203505024597722}",25,8,27.331627096489424,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.041885329475787991}",25,3,30.99397090263949,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.041572917407173317}",30,20,19.69378695067777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.041266104753821156}",25,0,13.235676367182093,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.040964733784113222}",20,8,19.542453342166876,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.040668652792393421}",30,0,45.4426281275133,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.4, 'e': 0.040377715809520237}",25,0,36.334314964749964,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.0400917823301098}",20,10,22.456536690577455,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.4, 'e': 0.039810717055349734}",30,11,21.81234720724113,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.039534389650349291}",30,20,17.110223943889288,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.039262674515069589}",20,13,15.329486463978093,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.4, 'e': 0.038995450567949133}",20,0,20.06745198351129,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.4, 'e': 0.038732601041405711}",20,0,23.79391330272634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.4, 'e': 0.038474013288455636}",25,3,30.0743060855581,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.038219578599746673}",20,0,32.39757485053099,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.4, 'e': 0.037969192030351623}",20,3,27.110836413330574,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.037722752235716243}",20,4,25.434810118586057,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.037480161316197948}",20,0,33.060423748804396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.4, 'e': 0.037241324669671359}",20,11,12.318638935248797,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
